No,観点,想定される状況,このままだと起きる問題,決めた仕様,画面表示,優先度
1,①在庫・状態,選択した端末が既に貸出中,同じPCが二重貸出になる,貸出確定直前にstatusを再確認しAVAILABLE以外なら貸出不可,この端末は現在貸出中です。別の端末を選択してください。,高
2,①在庫・状態,修理中の端末を選択,使用できないPCを貸し出してしまう,REPAIRは貸出対象外,この端末は修理中のため貸出できません。,中
3,①在庫・状態,廃棄済み端末を指定,存在すべきでない資産を貸し出す,DISPOSEDは貸出対象外,この端末は貸出対象外です。,中
4,①在庫・状態,貸出可能PCが0台,空のプルダウンのまま申請できる,AVAILABLE端末が0件なら貸出操作不可,現在貸出可能なPCはありません。,低
5,②人の状態,退職済み社員が貸出,退職者に会社資産を貸し出す,RETIREDは貸出不可,退職済みのためPCを貸し出せません。,中
6,②人の状態,休職中社員が貸出,休職者に資産を貸し出す,LEAVEは貸出不可,休職中のためPCを貸し出せません。,中
7,②人の状態,社員レコードが存在しない,存在しない人物に貸出記録が作られる,社員が存在しなければ処理中止,社員情報を確認できませんでした。,高
8,③重複・多重,貸出ボタンを連打,同じ貸出レコードが複数作成される,サーバー側で同一申請トークンの二重処理を拒否,この貸出処理はすでに完了しています。,高
9,③重複・多重,2人が同時に同じPCを確定,両方の貸出が成立する,条件付きUPDATEとトランザクションで先に成立した1件だけ許可,他の利用者が先にこの端末を貸し出しました。別の端末を選択してください。,高
10,③重複・多重,ブラウザバック後に再度確定,同一申請が再登録される,処理済み申請トークンは再実行不可,この申請はすでに処理されています。,高
11,④入力値,返却予定日が未入力,返却期限不明の貸出になる,返却予定日は必須,返却予定日を入力してください。,中
12,④入力値,返却予定日が過去日,貸出時点ですでに期限切れになる,過去日は不可,返却予定日は本日以降の日付を入力してください。,中
13,④入力値,利用目的が未入力,貸出目的を管理できない,利用目的を必須とする,利用目的を入力してください。,低
14,④入力値,利用目的が100文字を超える,DB定義を超え登録失敗する,100文字以内,利用目的は100文字以内で入力してください。,中
15,④入力値,プルダウンに存在しない端末IDを送信,改ざんされた値で処理される,サーバー側でも端末存在と状態を検証,指定された端末は存在しません。,高
16,⑤順序,借りていないPCを返却,不正な返却処理が行われる,未返却のlendingsが存在するときのみ返却可,この端末の貸出情報がありません。,高
17,⑤順序,返却済みPCをもう一度返却,returned_atが上書きされる,returned_atがNULLでない場合は再返却不可,この端末はすでに返却されています。,高
18,⑤順序,貸出中でない端末を返却,状態と貸出記録が不整合になる,devices.status=LENTの場合のみ返却可,この端末は現在貸出中ではありません。,高
19,⑥時間,返却予定日を超過,延滞状態を識別できない,due_dateが当日より前かつ未返却なら延滞扱い,返却予定日を過ぎています。速やかに返却してください。,中
20,⑥時間,延滞中の社員がさらに借りようとする,延滞したまま貸出台数が増える,延滞中の貸出がある社員は新規貸出不可,延滞中のPCを返却してから新しい貸出を申請してください。,中
21,⑦失敗時,lendings登録とdevices更新の途中で失敗,貸出記録と端末状態が不整合になる,貸出処理を1トランザクションにし失敗時はロールバック,貸出処理に失敗しました。もう一度お試しください。,高
22,⑦失敗時,返却記録とdevices更新の途中で失敗,返却記録と端末状態が不整合になる,返却処理を1トランザクションにし失敗時はロールバック,返却処理に失敗しました。もう一度お試しください。,高
23,⑧不正操作,URL直打ちで確認画面を飛ばす,必要な確認をせず処理される,正常なpending申請がなければ確定不可,不正な操作です。貸出申請画面からやり直してください。,高
24,⑧不正操作,他人の貸出IDを指定して返却,他人のPCを勝手に返却できる,ログイン社員IDとlendings.user_id一致時のみ返却可,この貸出情報を操作する権限がありません。,高
